institution_type,refPeriod,template_id,template_title,n_peer,n_offengelegt,quote_peer,band,art_432_2
Large highest EEA,2025-06-30,26.01,EU CR6-A – Scope of the use of IRB and SA approaches,104,3,0.0288,untypisch,
Large highest EEA,2025-06-30,27.01,EU CR7 – IRB approach – Effect on the RWEAs of credit derivatives used as CRM techniques,104,37,0.3558,uneinheitlich,
Large highest EEA,2025-06-30,27.02,EU CR7-A – IRB approach – Disclosure of the extent of the use of CRM techniques,104,55,0.5288,uneinheitlich,
Large highest EEA,2025-06-30,28.00,EU CR8 –  RWEA flow statements of credit risk exposures under the IRB approach,104,54,0.5192,uneinheitlich,
Large highest EEA,2025-06-30,29.00,EU CR9 –IRB approach – Back-testing of PD per exposure class (fixed PD scale),104,2,0.0192,untypisch,
Large highest EEA,2025-06-30,29.01,EU CR9.1 –IRB approach – Back-testing of PD per exposure class (only for PD estimates according to point (f) of Article 180(1) CRR) (I),104,2,0.0192,untypisch,
Large highest EEA,2025-06-30,29.02,EU CR10 –  Specialised lending and equity exposures under the simple riskweighted approach,104,53,0.5096,uneinheitlich,
Large highest EEA,2025-06-30,41.00,"Template 1 - Banking book- Indicators of potential climate Change transition risk: Credit quality of exposures by sector, emissions and residual maturity",86,83,0.9651,erwartbar,
Large highest EEA,2025-06-30,42.00,Template 2 - Banking book - Indicators of potential climate change transition risk: Loans collateralised by immovable property - Energy efficiency of the collateral (I),86,78,0.907,erwartbar,
Large highest EEA,2025-06-30,43.00,Template 3 - Banking book - Indicators of potential climate change transition risk: Alignment metrics (IAE/NACE codes),86,75,0.8721,erwartbar,
Large highest EEA,2025-06-30,44.00,Template 4 - Banking book - Indicators of potential climate change transition risk: Exposures to top 20 carbon-intensive firms,86,66,0.7674,uneinheitlich,
Large highest EEA,2025-06-30,45.00,Template 5 - Banking book - Indicators of potential climate change physical risk: Exposures subject to physical risk (I),86,80,0.9302,erwartbar,
Large highest EEA,2025-06-30,46.00,Template 6 - Summary of GAR KPIs (I),86,18,0.2093,uneinheitlich,
Large highest EEA,2025-06-30,47.00,Template 7 - Mitigating actions: Assets for the calculation of GAR (I),86,18,0.2093,uneinheitlich,
Large highest EEA,2025-06-30,48.00,Template 8 - GAR (%) (I),86,18,0.2093,uneinheitlich,
Large highest EEA,2025-06-30,49.01,Template 9.1 - Mitigating actions: Assets for the calculation of BTAR,86,8,0.093,untypisch,
Large highest EEA,2025-06-30,49.02,Template 9.2 - BTAR % (I),86,8,0.093,untypisch,
Large highest EEA,2025-06-30,49.03,Template 9.3 - Summary table - BTAR % (I),86,8,0.093,untypisch,
Large highest EEA,2025-06-30,50.00,Template 10 - Other climate change mitigating actions that are not covered in the EU Taxonomy,86,17,0.1977,untypisch,
Large highest EEA,2025-06-30,60.00,EU OV1 – Overview of total risk exposure amounts (I),104,88,0.8462,erwartbar,
Large highest EEA,2025-06-30,61.00,EU KM1 - Key metrics template,104,102,0.9808,erwartbar,
Large highest EEA,2025-06-30,62.01,EU INS1 - Insurance participations,104,3,0.0288,untypisch,
Large highest EEA,2025-06-30,62.02,EU INS2 - Financial conglomerates information on own funds and capital adequacy ratio,104,3,0.0288,untypisch,
Large highest EEA,2025-06-30,63.01,EU CMS1 – Comparison of modelled and standardised risk weighted exposure amounts at risk level,104,58,0.5577,uneinheitlich,
Large highest EEA,2025-06-30,63.02,EU CMS2 – Comparison of modelled and standardised risk weighted exposure amounts for credit risk at asset class level,104,55,0.5288,uneinheitlich,
Large highest EEA,2025-06-30,64.01,EU LI1 - Differences between the accounting scope and the scope of prudential consolidation and mapping of financial statement categories with regulatory risk categories,104,2,0.0192,untypisch,
Large highest EEA,2025-06-30,64.02,EU LI3 - Outline of the differences in the scopes of consolidation (entity by entity),104,3,0.0288,untypisch,
Large highest EEA,2025-06-30,64.03,EU LI2 - Main sources of differences between regulatory exposure amounts and carrying values in financial statements,104,3,0.0288,untypisch,
Large highest EEA,2025-06-30,65.00,EU PV1: Prudent valuation adjustments (PVA),104,2,0.0192,untypisch,
Large highest EEA,2025-06-30,66.01,EU CC1 - Composition of regulatory own funds,104,84,0.8077,erwartbar,Art. 437 Eigenmittel (CC1)
Large highest EEA,2025-06-30,66.02,EU CC2 - reconciliation of regulatory own funds to balance sheet in the audited financial statements,104,79,0.7596,uneinheitlich,Art. 437 Eigenmittel (CC2)
Large highest EEA,2025-06-30,67.01,EU CCyB1 - Geographical distribution of credit exposures relevant for the calculation of the countercyclical buffer,104,83,0.7981,uneinheitlich,
Large highest EEA,2025-06-30,67.02,EU CCyB2 - Amount of institution-specific countercyclical capital buffer,104,83,0.7981,uneinheitlich,
Large highest EEA,2025-06-30,68.00,EU IRRBB1 - Interest rate risks of non-trading book activities,82,82,1.0,erwartbar,
Large highest EEA,2025-06-30,70.00,EU LR1 - LRSum: Summary reconciliation of accounting assets and leverage ratio exposures,104,87,0.8365,erwartbar,
Large highest EEA,2025-06-30,71.00,EU LR2 - LRCom: Leverage ratio common disclosure,104,84,0.8077,erwartbar,
Large highest EEA,2025-06-30,72.00,"EU LR3 - LRSpl: Split-up of on balance sheet exposures (excluding derivatives, SFTs and exempted exposures)",104,87,0.8365,erwartbar,
Large highest EEA,2025-06-30,73.00,EU LIQ1 - Quantitative information of LCR,104,86,0.8269,erwartbar,
Large highest EEA,2025-06-30,74.00,EU LIQ2: Net Stable Funding Ratio,104,85,0.8173,erwartbar,
Large highest EEA,2025-06-30,80.00,EU CQ1: Credit quality of forborne exposures,87,83,0.954,erwartbar,
Large highest EEA,2025-06-30,81.00,EU CQ2: Quality of forbearance,87,10,0.1149,untypisch,
Large highest EEA,2025-06-30,82.00,EU CQ3: Credit quality of performing and non-performing exposures by past due days,87,8,0.092,untypisch,
Large highest EEA,2025-06-30,83.01,EU CQ4: Quality of non-performing exposures by geography,87,69,0.7931,uneinheitlich,
Large highest EEA,2025-06-30,84.01,EU CQ5: Credit quality of loans and advances by industry,87,83,0.954,erwartbar,
Large highest EEA,2025-06-30,85.00,EU CQ6: Collateral valuation - loans and advances,87,12,0.1379,untypisch,
Large highest EEA,2025-06-30,86.00,EU CQ7: Collateral obtained by taking possession and execution processes,87,59,0.6782,uneinheitlich,
Large highest EEA,2025-06-30,87.00,EU CQ8: Collateral obtained by taking possession and execution processes – vintage breakdown,87,9,0.1034,untypisch,
Large highest EEA,2025-06-30,90.01,"EU KM2 - Key metrics - MREL and, where applicable, G-SII requirement for own funds and eligible liabilities",74,64,0.8649,erwartbar,
Large highest EEA,2025-06-30,91.00,"EU TLAC1 - Composition - MREL and, where applicable, G-SII requirement for own funds and eligible liabilities",74,20,0.2703,uneinheitlich,
Large highest EEA,2025-06-30,93.00,"EU ILAC - Internal loss absorbing capacity: internal MREL and, where applicable, requirement for own funds and eligible liabilities for non-EU G-SIIs",74,14,0.1892,untypisch,
Large highest EEA,2025-06-30,95.00,EU TLAC2a - Creditor ranking - Entity that is not a resolution entity,74,13,0.1757,untypisch,
Large highest EEA,2025-06-30,96.00,EU TLAC2b: Creditor ranking - Entity that is not a resolution entity,74,2,0.027,untypisch,
Large highest EEA,2025-06-30,97.00,EU TLAC3a - creditor ranking - resolution entity,74,12,0.1622,untypisch,
Large highest EEA,2025-06-30,98.00,EU TLAC3b: creditor ranking - resolution entity,74,4,0.0541,untypisch,
Large highest EEA,2025-09-30,00.02,Accompanying narrative CONDIS,82,39,0.4756,uneinheitlich,
Large highest EEA,2025-09-30,01.00,EU CAE1 – Exposures to crypto-assets,82,1,0.0122,untypisch,
Large highest EEA,2025-09-30,02.00,EU CCR1 – Analysis of CCR exposure by approach,82,3,0.0366,untypisch,
Large highest EEA,2025-09-30,03.00,EU CCR3 – Standardised approach – CCR exposures by regulatory exposure class and risk weights,82,1,0.0122,untypisch,
Large highest EEA,2025-09-30,04.00,EU CCR4 – IRB approach – CCR exposures by exposure class and PD scale (I),82,1,0.0122,untypisch,
Large highest EEA,2025-09-30,05.00,EU CCR5 – Composition of collateral for CCR exposures (I),82,1,0.0122,untypisch,
Large highest EEA,2025-09-30,06.00,EU CCR6 – Credit derivatives exposures,82,1,0.0122,untypisch,
Large highest EEA,2025-09-30,07.00,EU CCR7 – RWEA flow statements of CCR exposures under the IMM,82,18,0.2195,uneinheitlich,
Large highest EEA,2025-09-30,08.00,EU CCR8 – Exposures to CCPs,82,1,0.0122,untypisch,
Large highest EEA,2025-09-30,09.01,EU-SEC1 - Securitisation exposures in the non-trading book,82,1,0.0122,untypisch,
Large highest EEA,2025-09-30,09.02,EU-SEC2 - Securitisation exposures in the trading book,82,1,0.0122,untypisch,
Large highest EEA,2025-09-30,09.03,EU-SEC3 - Securitisation exposures in the non-trading book and associated regulatory capital requirements - institution acting as originator or as sponsor,82,1,0.0122,untypisch,
Large highest EEA,2025-09-30,09.04,EU-SEC4 - Securitisation exposures in the non-trading book and associated regulatory capital requirements - institution acting as investor,82,1,0.0122,untypisch,
Large highest EEA,2025-09-30,09.05,EU-SEC5 - Exposures securitised by the institution - Exposures in default and specific credit risk adjustments,82,1,0.0122,untypisch,
Large highest EEA,2025-09-30,10.00,EU MR1 - Market risk under the standardised approach,82,1,0.0122,untypisch,
Large highest EEA,2025-09-30,11.00,EU MR2-A - Market risk under the internal Model Approach (IMA) - RWEA,82,1,0.0122,untypisch,
Large highest EEA,2025-09-30,12.00,EU MR2-B - RWA flow statements of market risk exposures under the IMA,82,27,0.3293,uneinheitlich,
Large highest EEA,2025-09-30,13.00,EU MR3 - IMA values for trading portfolios,82,1,0.0122,untypisch,
Large highest EEA,2025-09-30,18.01,EU CVA 1 – Credit valuation adjustment risk under the Reduced Basic Approach - OFR components,82,1,0.0122,untypisch,
Large highest EEA,2025-09-30,18.02,EU CVA 2 – Credit valuation adjustment risk under the Full Basic Approach - OFRs,82,1,0.0122,untypisch,
Large highest EEA,2025-09-30,18.03,EU CVA3 – Credit valuation adjustment risk under the Standardised Approach,82,1,0.0122,untypisch,
Large highest EEA,2025-09-30,18.04,EU CVA4 – RWEA flow statements of credit valuation adjustment risk under the Standardised Approach,82,15,0.1829,untypisch,
Large highest EEA,2025-09-30,19.01,EU OR1 -Operational risk losses,82,1,0.0122,untypisch,
Large highest EEA,2025-09-30,19.02,"EU OR2 - Business Indicator, components and subcomponents",82,1,0.0122,untypisch,
Large highest EEA,2025-09-30,19.03,EU OR3 - Operational risk own funds requirements and risk exposure amounts,82,1,0.0122,untypisch,
Large highest EEA,2025-09-30,23.00,EU CR3 –  CRM techniques overview:  Disclosure of the use of credit risk mitigation techniques,82,1,0.0122,untypisch,
Large highest EEA,2025-09-30,24.00,EU CR4 – standardised approach – Credit risk exposure and CRM effects,82,1,0.0122,untypisch,
Large highest EEA,2025-09-30,25.00,EU CR5 – standardised approach,82,1,0.0122,untypisch,
Large highest EEA,2025-09-30,26.00,EU CR6 – IRB approach – Credit risk exposures by exposure class and PD range (I),82,1,0.0122,untypisch,
Large highest EEA,2025-09-30,26.01,EU CR6-A – Scope of the use of IRB and SA approaches,82,1,0.0122,untypisch,
Large highest EEA,2025-09-30,27.01,EU CR7 – IRB approach – Effect on the RWEAs of credit derivatives used as CRM techniques,82,1,0.0122,untypisch,
Large highest EEA,2025-09-30,27.02,EU CR7-A – IRB approach – Disclosure of the extent of the use of CRM techniques,82,1,0.0122,untypisch,
Large highest EEA,2025-09-30,28.00,EU CR8 –  RWEA flow statements of credit risk exposures under the IRB approach,82,48,0.5854,uneinheitlich,
Large highest EEA,2025-09-30,29.00,EU CR9 –IRB approach – Back-testing of PD per exposure class (fixed PD scale),82,1,0.0122,untypisch,
Large highest EEA,2025-09-30,29.01,EU CR9.1 –IRB approach – Back-testing of PD per exposure class (only for PD estimates according to point (f) of Article 180(1) CRR) (I),82,1,0.0122,untypisch,
Large highest EEA,2025-09-30,29.02,EU CR10 –  Specialised lending and equity exposures under the simple riskweighted approach,82,1,0.0122,untypisch,
Large highest EEA,2025-09-30,60.00,EU OV1 – Overview of total risk exposure amounts (I),82,80,0.9756,erwartbar,
Large highest EEA,2025-09-30,61.00,EU KM1 - Key metrics template,82,80,0.9756,erwartbar,
Large highest EEA,2025-09-30,62.01,EU INS1 - Insurance participations,82,1,0.0122,untypisch,
Large highest EEA,2025-09-30,62.02,EU INS2 - Financial conglomerates information on own funds and capital adequacy ratio,82,2,0.0244,untypisch,
Large highest EEA,2025-09-30,63.01,EU CMS1 – Comparison of modelled and standardised risk weighted exposure amounts at risk level,82,53,0.6463,uneinheitlich,
Large highest EEA,2025-09-30,63.02,EU CMS2 – Comparison of modelled and standardised risk weighted exposure amounts for credit risk at asset class level,82,48,0.5854,uneinheitlich,
Large highest EEA,2025-09-30,64.01,EU LI1 - Differences between the accounting scope and the scope of prudential consolidation and mapping of financial statement categories with regulatory risk categories,82,1,0.0122,untypisch,
Large highest EEA,2025-09-30,64.02,EU LI3 - Outline of the differences in the scopes of consolidation (entity by entity),82,1,0.0122,untypisch,
Large highest EEA,2025-09-30,64.03,EU LI2 - Main sources of differences between regulatory exposure amounts and carrying values in financial statements,82,1,0.0122,untypisch,
Large highest EEA,2025-09-30,65.00,EU PV1: Prudent valuation adjustments (PVA),82,1,0.0122,untypisch,
Large highest EEA,2025-09-30,66.01,EU CC1 - Composition of regulatory own funds,82,3,0.0366,untypisch,Art. 437 Eigenmittel (CC1)
Large highest EEA,2025-09-30,66.02,EU CC2 - reconciliation of regulatory own funds to balance sheet in the audited financial statements,82,1,0.0122,untypisch,Art. 437 Eigenmittel (CC2)
Large highest EEA,2025-09-30,67.01,EU CCyB1 - Geographical distribution of credit exposures relevant for the calculation of the countercyclical buffer,82,1,0.0122,untypisch,
Large highest EEA,2025-09-30,67.02,EU CCyB2 - Amount of institution-specific countercyclical capital buffer,82,2,0.0244,untypisch,
Large highest EEA,2025-09-30,70.00,EU LR1 - LRSum: Summary reconciliation of accounting assets and leverage ratio exposures,82,1,0.0122,untypisch,
Large highest EEA,2025-09-30,71.00,EU LR2 - LRCom: Leverage ratio common disclosure,82,1,0.0122,untypisch,
Large highest EEA,2025-09-30,72.00,"EU LR3 - LRSpl: Split-up of on balance sheet exposures (excluding derivatives, SFTs and exempted exposures)",82,1,0.0122,untypisch,
Large highest EEA,2025-09-30,73.00,EU LIQ1 - Quantitative information of LCR,82,79,0.9634,erwartbar,
Large highest EEA,2025-09-30,74.00,EU LIQ2: Net Stable Funding Ratio,82,1,0.0122,untypisch,
Large highest EEA,2025-12-31,00.01,Accompanying narrative FINDIS,117,61,0.5214,uneinheitlich,
Large highest EEA,2025-12-31,00.02,Accompanying narrative CONDIS,116,71,0.6121,uneinheitlich,
Large highest EEA,2025-12-31,00.03,Accompanying narrative ESGDIS,102,55,0.5392,uneinheitlich,
Large highest EEA,2025-12-31,00.04,Accompanying narrative IRRBBDIS,115,39,0.3391,uneinheitlich,
Large highest EEA,2025-12-31,00.05,Accompanying narrative MREL/TLACDIS,84,33,0.3929,uneinheitlich,
Large highest EEA,2025-12-31,01.00,EU CAE1 – Exposures to crypto-assets,116,28,0.2414,uneinheitlich,
Large highest EEA,2025-12-31,02.00,EU CCR1 – Analysis of CCR exposure by approach,116,111,0.9569,erwartbar,
Large highest EEA,2025-12-31,03.00,EU CCR3 – Standardised approach – CCR exposures by regulatory exposure class and risk weights,116,109,0.9397,erwartbar,
Large highest EEA,2025-12-31,04.00,EU CCR4 – IRB approach – CCR exposures by exposure class and PD scale (I),116,50,0.431,uneinheitlich,
Large highest EEA,2025-12-31,05.00,EU CCR5 – Composition of collateral for CCR exposures (I),116,104,0.8966,erwartbar,
Large highest EEA,2025-12-31,06.00,EU CCR6 – Credit derivatives exposures,116,54,0.4655,uneinheitlich,
Large highest EEA,2025-12-31,07.00,EU CCR7 – RWEA flow statements of CCR exposures under the IMM,116,28,0.2414,uneinheitlich,
Large highest EEA,2025-12-31,08.00,EU CCR8 – Exposures to CCPs,116,101,0.8707,erwartbar,
Large highest EEA,2025-12-31,09.01,EU-SEC1 - Securitisation exposures in the non-trading book,116,70,0.6034,uneinheitlich,
Large highest EEA,2025-12-31,09.02,EU-SEC2 - Securitisation exposures in the trading book,116,24,0.2069,uneinheitlich,
Large highest EEA,2025-12-31,09.03,EU-SEC3 - Securitisation exposures in the non-trading book and associated regulatory capital requirements - institution acting as originator or as sponsor,116,54,0.4655,uneinheitlich,
Large highest EEA,2025-12-31,09.04,EU-SEC4 - Securitisation exposures in the non-trading book and associated regulatory capital requirements - institution acting as investor,116,58,0.5,uneinheitlich,
Large highest EEA,2025-12-31,09.05,EU-SEC5 - Exposures securitised by the institution - Exposures in default and specific credit risk adjustments,116,55,0.4741,uneinheitlich,
Large highest EEA,2025-12-31,10.00,EU MR1 - Market risk under the standardised approach,116,94,0.8103,erwartbar,
Large highest EEA,2025-12-31,11.00,EU MR2-A - Market risk under the internal Model Approach (IMA) - RWEA,116,39,0.3362,uneinheitlich,
Large highest EEA,2025-12-31,12.00,EU MR2-B - RWA flow statements of market risk exposures under the IMA,116,40,0.3448,uneinheitlich,
Large highest EEA,2025-12-31,13.00,EU MR3 - IMA values for trading portfolios,116,38,0.3276,uneinheitlich,
Large highest EEA,2025-12-31,18.01,EU CVA 1 – Credit valuation adjustment risk under the Reduced Basic Approach - OFR components,116,84,0.7241,uneinheitlich,
Large highest EEA,2025-12-31,18.02,EU CVA 2 – Credit valuation adjustment risk under the Full Basic Approach - OFRs,116,38,0.3276,uneinheitlich,
Large highest EEA,2025-12-31,18.03,EU CVA3 – Credit valuation adjustment risk under the Standardised Approach,116,29,0.25,uneinheitlich,
Large highest EEA,2025-12-31,18.04,EU CVA4 – RWEA flow statements of credit valuation adjustment risk under the Standardised Approach,116,28,0.2414,uneinheitlich,
Large highest EEA,2025-12-31,19.01,EU OR1 -Operational risk losses,116,91,0.7845,uneinheitlich,
Large highest EEA,2025-12-31,19.02,"EU OR2 - Business Indicator, components and subcomponents",116,105,0.9052,erwartbar,
Large highest EEA,2025-12-31,19.03,EU OR3 - Operational risk own funds requirements and risk exposure amounts,116,110,0.9483,erwartbar,
Large highest EEA,2025-12-31,20.01,EU AE1 - Encumbered and unencumbered assets,117,111,0.9487,erwartbar,
Large highest EEA,2025-12-31,20.02,EU AE2 - Collateral received and own debt securities issued,117,106,0.906,erwartbar,
Large highest EEA,2025-12-31,20.03,EU AE3 - Sources   of  encumbrance,117,110,0.9402,erwartbar,
Large highest EEA,2025-12-31,21.01,EU CR1: Performing and non-performing exposures and related provisions,117,114,0.9744,erwartbar,
Large highest EEA,2025-12-31,21.02,EU CR1-A: Maturity of exposures,117,112,0.9573,erwartbar,
Large highest EEA,2025-12-31,22.01,EU CR2: Changes in the stock of non-performing loans and advances,117,94,0.8034,erwartbar,
Large highest EEA,2025-12-31,22.02,EU CR2a: Changes in the stock of non-performing loans and advances and related net accumulated recoveries,117,38,0.3248,uneinheitlich,
Large highest EEA,2025-12-31,23.00,EU CR3 –  CRM techniques overview:  Disclosure of the use of credit risk mitigation techniques,116,109,0.9397,erwartbar,
Large highest EEA,2025-12-31,24.00,EU CR4 – standardised approach – Credit risk exposure and CRM effects,116,114,0.9828,erwartbar,
Large highest EEA,2025-12-31,25.00,EU CR5 – standardised approach,116,113,0.9741,erwartbar,
Large highest EEA,2025-12-31,26.00,EU CR6 – IRB approach – Credit risk exposures by exposure class and PD range (I),116,61,0.5259,uneinheitlich,
Large highest EEA,2025-12-31,26.01,EU CR6-A – Scope of the use of IRB and SA approaches,116,59,0.5086,uneinheitlich,
Large highest EEA,2025-12-31,27.01,EU CR7 – IRB approach – Effect on the RWEAs of credit derivatives used as CRM techniques,116,42,0.3621,uneinheitlich,
Large highest EEA,2025-12-31,27.02,EU CR7-A – IRB approach – Disclosure of the extent of the use of CRM techniques,116,62,0.5345,uneinheitlich,
Large highest EEA,2025-12-31,28.00,EU CR8 –  RWEA flow statements of credit risk exposures under the IRB approach,116,61,0.5259,uneinheitlich,
Large highest EEA,2025-12-31,29.00,EU CR9 –IRB approach – Back-testing of PD per exposure class (fixed PD scale),116,54,0.4655,uneinheitlich,
Large highest EEA,2025-12-31,29.01,EU CR9.1 –IRB approach – Back-testing of PD per exposure class (only for PD estimates according to point (f) of Article 180(1) CRR) (I),116,17,0.1466,untypisch,
Large highest EEA,2025-12-31,29.02,EU CR10 –  Specialised lending and equity exposures under the simple riskweighted approach,116,62,0.5345,uneinheitlich,
Large highest EEA,2025-12-31,30.01,EU REM1 - Remuneration awarded for the financial year,99,98,0.9899,erwartbar,Art. 450 Vergütung (REM1)
Large highest EEA,2025-12-31,30.02,EU REM2 - Special payments  to staff whose professional activities have a material impact on institutions’ risk profile (identified staff),99,87,0.8788,erwartbar,Art. 450 Vergütung (REM2)
Large highest EEA,2025-12-31,30.03,EU REM3 - Deferred remuneration,99,88,0.8889,erwartbar,Art. 450 Vergütung (REM3)
Large highest EEA,2025-12-31,30.04,EU REM4 - Remuneration of 1 million EUR or more per year,99,77,0.7778,uneinheitlich,Art. 450 Vergütung (REM4)
Large highest EEA,2025-12-31,30.05,EU REM5 - Information on remuneration of staff whose professional activities have a material impact on institutions’ risk profile (identified staff) (I),99,98,0.9899,erwartbar,Art. 450 Vergütung (REM5)
Large highest EEA,2025-12-31,41.00,"Template 1 - Banking book- Indicators of potential climate Change transition risk: Credit quality of exposures by sector, emissions and residual maturity",102,99,0.9706,erwartbar,
Large highest EEA,2025-12-31,42.00,Template 2 - Banking book - Indicators of potential climate change transition risk: Loans collateralised by immovable property - Energy efficiency of the collateral (I),102,96,0.9412,erwartbar,
Large highest EEA,2025-12-31,43.00,Template 3 - Banking book - Indicators of potential climate change transition risk: Alignment metrics (IAE/NACE codes),102,87,0.8529,erwartbar,
Large highest EEA,2025-12-31,44.00,Template 4 - Banking book - Indicators of potential climate change transition risk: Exposures to top 20 carbon-intensive firms,102,72,0.7059,uneinheitlich,
Large highest EEA,2025-12-31,45.00,Template 5 - Banking book - Indicators of potential climate change physical risk: Exposures subject to physical risk (I),102,96,0.9412,erwartbar,
Large highest EEA,2025-12-31,46.00,Template 6 - Summary of GAR KPIs (I),102,22,0.2157,uneinheitlich,
Large highest EEA,2025-12-31,47.00,Template 7 - Mitigating actions: Assets for the calculation of GAR (I),102,23,0.2255,uneinheitlich,
Large highest EEA,2025-12-31,48.00,Template 8 - GAR (%) (I),102,22,0.2157,uneinheitlich,
Large highest EEA,2025-12-31,49.01,Template 9.1 - Mitigating actions: Assets for the calculation of BTAR,102,13,0.1275,untypisch,
Large highest EEA,2025-12-31,49.02,Template 9.2 - BTAR % (I),102,12,0.1176,untypisch,
Large highest EEA,2025-12-31,49.03,Template 9.3 - Summary table - BTAR % (I),102,12,0.1176,untypisch,
